stage,shard_id,start_ts,duration_s,notes
distribute_shares,shard_49,1761272733.1196115,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_49,1761272733.1196115,0.028384,replicated_to=5
encrypt,shard_50,1761272733.1479955,0.002012,rows=3000
save_enc,shard_50,1761272733.1520221,0.001751,3_p2p_storage\shards\shard_50.enc
shamir_split,shard_50,1761272733.153773,0.000000,n=5;t=3
distribute_shares,shard_50,1761272733.1552253,0.002859,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_50,1761272733.1580844,0.025875,replicated_to=5
encrypt,shard_51,1761272733.1855593,0.002670,rows=3000
save_enc,shard_51,1761272733.1892307,0.001004,3_p2p_storage\shards\shard_51.enc
shamir_split,shard_51,1761272733.1902347,0.000999,n=5;t=3
distribute_shares,shard_51,1761272733.1912339,0.002910,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_51,1761272733.1949184,0.025406,replicated_to=5
encrypt,shard_52,1761272733.2222824,0.002002,rows=3000
save_enc,shard_52,1761272733.2252874,0.000999,3_p2p_storage\shards\shard_52.enc
shamir_split,shard_52,1761272733.2262864,0.001001,n=5;t=3
distribute_shares,shard_52,1761272733.227287,0.003000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_52,1761272733.2302868,0.022734,replicated_to=5
encrypt,shard_53,1761272733.2530205,0.003342,rows=3000
save_enc,shard_53,1761272733.2583702,0.000000,3_p2p_storage\shards\shard_53.enc
shamir_split,shard_53,1761272733.2603786,0.000000,n=5;t=3
distribute_shares,shard_53,1761272733.2603786,0.002012,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_53,1761272733.2644062,0.024182,replicated_to=5
encrypt,shard_54,1761272733.2895885,0.001998,rows=3000
save_enc,shard_54,1761272733.2915866,0.001281,3_p2p_storage\shards\shard_54.enc
shamir_split,shard_54,1761272733.2928672,0.000000,n=5;t=3
distribute_shares,shard_54,1761272733.2928672,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_54,1761272733.2928672,0.025593,replicated_to=5
encrypt,shard_55,1761272733.3191786,0.000000,rows=3000
save_enc,shard_55,1761272733.3191786,0.000000,3_p2p_storage\shards\shard_55.enc
shamir_split,shard_55,1761272733.3191786,0.000000,n=5;t=3
distribute_shares,shard_55,1761272733.3191786,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_55,1761272733.3191786,0.026434,replicated_to=5
encrypt,shard_56,1761272733.3467329,0.001399,rows=3000
save_enc,shard_56,1761272733.3481314,0.000000,3_p2p_storage\shards\shard_56.enc
shamir_split,shard_56,1761272733.3481314,0.000000,n=5;t=3
distribute_shares,shard_56,1761272733.3481314,0.004556,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_56,1761272733.3526878,0.021886,replicated_to=5
encrypt,shard_57,1761272733.3745737,0.000000,rows=3000
save_enc,shard_57,1761272733.3745737,0.000000,3_p2p_storage\shards\shard_57.enc
shamir_split,shard_57,1761272733.3745737,0.000000,n=5;t=3
distribute_shares,shard_57,1761272733.3745737,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_57,1761272733.3745737,0.029707,replicated_to=5
encrypt,shard_58,1761272733.4042807,0.001432,rows=3000
save_enc,shard_58,1761272733.405713,0.000000,3_p2p_storage\shards\shard_58.enc
shamir_split,shard_58,1761272733.405713,0.000000,n=5;t=3
distribute_shares,shard_58,1761272733.405713,0.004161,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_58,1761272733.4098744,0.020885,replicated_to=5
encrypt,shard_59,1761272733.4307597,0.001160,rows=3000
save_enc,shard_59,1761272733.4319198,0.002978,3_p2p_storage\shards\shard_59.enc
shamir_split,shard_59,1761272733.4352798,0.000613,n=5;t=3
distribute_shares,shard_59,1761272733.4362528,0.001966,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_59,1761272733.4382184,0.021065,replicated_to=5
encrypt,shard_60,1761272733.4592838,0.000000,rows=3000
save_enc,shard_60,1761272733.4592838,0.000000,3_p2p_storage\shards\shard_60.enc
shamir_split,shard_60,1761272733.4592838,0.000000,n=5;t=3
distribute_shares,shard_60,1761272733.4592838,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_60,1761272733.4592838,0.027861,replicated_to=5
encrypt,shard_61,1761272733.4910533,0.001457,rows=3000
save_enc,shard_61,1761272733.4925106,0.002013,3_p2p_storage\shards\shard_61.enc
shamir_split,shard_61,1761272733.494524,0.000000,n=5;t=3
distribute_shares,shard_61,1761272733.494524,0.003173,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_61,1761272733.4976974,0.023447,replicated_to=5
encrypt,shard_62,1761272733.5239732,0.000000,rows=3000
save_enc,shard_62,1761272733.5239732,0.000000,3_p2p_storage\shards\shard_62.enc
shamir_split,shard_62,1761272733.5280106,0.000000,n=5;t=3
distribute_shares,shard_62,1761272733.5280106,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_62,1761272733.5280106,0.027492,replicated_to=5
encrypt,shard_63,1761272733.555503,0.000000,rows=3000
save_enc,shard_63,1761272733.555503,0.000000,3_p2p_storage\shards\shard_63.enc
shamir_split,shard_63,1761272733.555503,0.000000,n=5;t=3
distribute_shares,shard_63,1761272733.5620818,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_63,1761272733.5620818,0.026864,replicated_to=5
encrypt,shard_64,1761272733.589974,0.000757,rows=3000
save_enc,shard_64,1761272733.5928078,0.000000,3_p2p_storage\shards\shard_64.enc
shamir_split,shard_64,1761272733.5928078,0.000000,n=5;t=3
distribute_shares,shard_64,1761272733.5928078,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_64,1761272733.5928078,0.027969,replicated_to=5
encrypt,shard_65,1761272733.6207764,0.000000,rows=3000
save_enc,shard_65,1761272733.6207764,0.000000,3_p2p_storage\shards\shard_65.enc
shamir_split,shard_65,1761272733.6207764,0.000000,n=5;t=3
distribute_shares,shard_65,1761272733.627446,0.001890,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_65,1761272733.6303382,0.023637,replicated_to=5
encrypt,shard_66,1761272733.653975,0.000000,rows=3000
save_enc,shard_66,1761272733.653975,0.000000,3_p2p_storage\shards\shard_66.enc
shamir_split,shard_66,1761272733.653975,0.000000,n=5;t=3
distribute_shares,shard_66,1761272733.653975,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_66,1761272733.653975,0.031155,replicated_to=5
encrypt,shard_67,1761272733.686357,0.002775,rows=3000
save_enc,shard_67,1761272733.6891325,0.001576,3_p2p_storage\shards\shard_67.enc
shamir_split,shard_67,1761272733.6907082,0.000000,n=5;t=3
